DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;QT_APTOS;QT_SECOES;QT_SECOES_AGREGADAS;QT_APTOS_TOT;QT_SECOES_TOT;QT_COMPARECIMENTO;QT_ABSTENCOES;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;QT_VOTOS_LEGENDA;QT_VOTOS_PENDENTES;QT_VOTOS_ANULADOS;HH_ULTIMA_TOTALIZACAO;DT_ULTIMA_TOTALIZACAO
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;205;13;Vereador;30955;93;1;30955;93;20010;10945;N;14594;1360;2243;1813;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;173;13;Vereador;37501;86;0;37501;86;27930;9571;N;20256;1826;3612;2236;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58696;NOVA IGUAÇU;58696;NOVA IGUAÇU;67;13;Vereador;42354;119;14;42354;119;33398;8956;N;25632;1884;3931;1951;0;0;14:09:38;04/04/2018
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58050;BARRA DO PIRAÍ;58050;BARRA DO PIRAÍ;93;13;Vereador;71099;214;33;71099;214;56923;14176;N;49500;1849;2579;2995;0;0;14:16:22;07/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58696;NOVA IGUAÇU;58696;NOVA IGUAÇU;250;11;Prefeito;44643;120;0;44643;120;35922;8721;N;28408;2673;4841;0;0;0;15:18:21;10/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;1;11;Prefeito;28357;64;36;28357;64;17822;10535;N;14646;1085;2091;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58874;RIO CLARO;58874;RIO CLARO;108;11;Prefeito;15609;45;5;15609;45;12811;2798;N;12197;150;464;0;0;0;18:21:23;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;58971;SÃO GONÇALO;58971;SÃO GONÇALO;68;11;Prefeito;53365;144;1;53365;144;39823;13542;N;32431;1449;5943;0;0;0;19:10:20;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;242;13;Vereador;68893;170;0;68893;170;53487;15406;N;37946;4273;7533;3735;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;14;11;Prefeito;35865;85;0;35865;85;26151;9714;N;19976;1079;5096;0;0;0;20:40:16;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58076;BARRA MANSA;58076;BARRA MANSA;94;11;Prefeito;47279;152;18;47279;152;37502;9777;N;31169;1762;4571;0;0;0;18:45:36;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58475;MACAÉ;58475;MACAÉ;254;13;Vereador;72260;203;1;72260;203;56813;15447;N;48745;2550;2977;2541;0;0;18:00:25;31/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;229;11;Prefeito;60547;139;0;60547;139;43521;17026;N;35360;2498;5663;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;228;11;Prefeito;25973;73;0;25973;73;17971;8002;N;14134;601;3236;0;0;0;20:40:16;30/10/2016
