num;NOME;longe;alfabetizacao;freq_escolar;renda_capita;idhl;idhe;idhr;idh
1;Abolição;73,28;97,07;95,69;467,23;0,805;0,966;0,799;0,857
2;Acari;63,93;91,68;79,44;174,12;0,649;0,876;0,634;0,72
3;Água Santa;76,21;97,48;95,65;496,66;0,853;0,969;0,809;0,877
4;Alto da Boa Vista;75,04;98,02;107,38;1204,61;0,834;0,987;0,957;0,926
5;Anchieta;68,9;95,65;84,75;278,18;0,732;0,92;0,712;0,788
6;Andaraí;74,99;98,05;103,85;897,07;0,833;0,987;0,908;0,909
7;Anil;77,15;97,3;101,85;768,26;0,869;0,982;0,882;0,911
8;Bancários;74,06;96,48;91,67;518,28;0,818;0,949;0,816;0,861
9;Bangu;69,78;95,45;82,95;296,55;0,746;0,913;0,723;0,794
10;Barra da Tijuca;77,84;99,38;110,09;2488,47;0,924;0,993;1;0,972
11;Barra de Guaratiba;66,66;90,74;74,37;234,37;0,694;0,853;0,684;0,744
12;Barros Filho;66,66;93,6;82,15;198,96;0,694;0,898;0,656;0,75
13;Benfica;73,59;94,5;81,35;376,65;0,81;0,901;0,763;0,825
14;Bento Ribeiro;75,05;97,95;88,15;399,85;0,834;0,947;0,773;0,851
15;Bonsucesso;74,7;95,72;86,94;552,99;0,828;0,928;0,827;0,861
16;Botafogo;78,25;98,46;113,01;1376,47;0,888;0,99;0,979;0,952
17;Brás de Pina;72,66;96,45;88,41;397,15;0,794;0,938;0,772;0,835
18;Cachambi;75,7;98,14;102,23;709,05;0,845;0,988;0,868;0,9
19;Cacuia;72,85;96,48;95,37;527,2;0,797;0,961;0,819;0,859
20;Caju;68,9;90,43;71,97;236,59;0,732;0,843;0,685;0,753
21;Camorim;66,3;90,8;69,28;279,09;0,688;0,836;0,713;0,746
22;Campinho;77,47;97,86;96,69;684,94;0,875;0,975;0,863;0,904
23;Campo dos Afonsos;73,59;97,75;93,26;462,13;0,81;0,963;0,797;0,856
24;Campo Grande;77,41;99,08;120,42;1151,11;0,881;0,931;0,851;0,925
25;Cascadura;72,15;95,97;86,35;428,76;0,786;0,928;0,785;0,833
26;Catete;74,99;96,65;100,4;822,22;0,833;0,978;0,893;0,901
27;Catumbi;69,6;95,81;85,41;324,83;0,743;0,923;0,738;0,802
28;Cavalcanti;70,41;96,29;84,68;328,64;0,757;0,924;0,74;0,807
29;Centro;76,12;97,58;99,24;633,36;0,852;0,981;0,85;0,894
30;Cidade de Deus;66,66;93,56;81,1;207,56;0,694;0,894;0,663;0,751
31;Cidade Nova;72,05;96,29;96,84;640,31;0,784;0,965;0,851;0,867
32;Cidade Universitária;67,79;93,92;80,64;300,31;0,713;0,895;0,725;0,778
33;Cocotá;74,06;96,48;91,67;518,28;0,818;0,949;0,816;0,861
34;Coelho Neto;70,86;96,88;84,77;299,89;0,764;0,928;0,725;0,806
35;Colégio;67,33;94,52;74,33;262,37;0,706;0,878;0,703;0,762
