,num_zona,num_votavel,num_votos_x,num_votos_y
0,1,10,7523,True
4,2,10,16918,True
9,3,50,13714,True
13,4,50,17529,True
17,5,50,9936,True
21,6,50,10522,True
25,7,50,23474,True
28,8,10,19242,True
32,9,10,39355,True
36,10,10,16289,True
40,11,10,12387,True
44,12,10,6868,True
48,13,10,17120,True
52,14,10,10218,True
56,15,10,11379,True
61,16,50,18705,True
65,17,50,12307,True
69,18,50,7459,True
73,19,50,16069,True
77,20,50,14707,True
80,21,10,24214,True
84,22,10,21921,True
88,23,10,21534,True
92,24,10,28581,True
96,25,10,35109,True
100,117,10,14461,True
104,118,10,15906,True
108,119,10,26272,True
112,120,10,34661,True
116,121,10,9931,True
120,122,10,33947,True
124,123,10,22608,True
128,124,10,11707,True
132,125,10,26522,True
136,160,10,13938,True
140,161,10,34986,True
144,162,10,16389,True
149,163,50,15135,True
153,164,50,10850,True
156,165,10,7329,True
161,166,50,11846,True
164,167,10,30043,True
168,168,10,13940,True
172,169,10,18758,True
177,170,50,17992,True
181,171,50,12289,True
185,173,50,12877,True
188,175,10,22951,True
192,176,10,17837,True
196,177,10,14609,True
200,178,10,16558,True
204,179,10,43962,True
208,180,10,29807,True
212,182,10,32722,True
216,185,10,19739,True
220,188,10,18514,True
224,189,10,14898,True
228,190,10,13073,True
232,191,10,19820,True
236,192,10,19985,True
240,193,10,16242,True
245,204,50,10657,True
249,205,50,8206,True
252,206,10,8206,True
253,206,50,9141,True
256,207,10,9077,True
260,208,10,8498,True
264,209,10,11684,True
268,210,10,14679,True
272,211,10,23346,True
277,212,50,8196,True
281,213,50,13282,True
285,214,50,15134,True
289,215,50,12284,True
293,216,50,13195,True
296,217,10,16686,True
300,218,10,18561,True
304,219,10,23409,True
308,220,10,18648,True
313,228,50,8752,True
316,229,10,17697,True
320,230,10,27052,True
324,231,10,16431,True
328,232,10,13279,True
332,233,10,19764,True
336,234,10,19586,True
340,235,10,14652,True
344,236,10,8874,True
348,237,10,18757,True
352,238,10,21927,True
356,240,10,19674,True
360,241,10,31791,True
364,242,10,30679,True
368,243,10,28401,True
372,244,10,14859,True
376,245,10,32068,True
380,246,10,48602,True
385,252,50,12327,True
